Subject,assignment,date
Microbiology,Case study #1,1/9/26
Microbiology,"Designer ""My-Crobe"" Presentation",1/12/26
Physiology,Weekly Quiz 1,1/14/26
Physiology,Practice exam 1,1/14/26
Operative,Quiz 1,1/20/26
Biomaterials,Exam 1,1/21/26
Occlusion,Online Assignment/Quiz 1,1/21/26
Physiology,Exam 1- Cell Physiology and Skeletal Muscle,1/21/26
Operative,Instrument ID Quiz,1/22/26
Oral Histology,Exam 1,1/22/26
Microbiology,Case study #2,1/26/26
Radiology,Intraoral Radiographic Quality Assurance,1/28/26
Neuroscience,Exam 1,1/29/26
Microbiology,Quiz 1,2/1/26
Microbiology,Case study #3,2/2/26
Perio I,Quiz 1,2/2/26
Radiology,Intraoral Radiographic Quality Assurance,2/4/26
Radiology,Exam 1,2/5/26
Microbiology,quiz 2,2/8/26
Biomaterials,Exam 2,2/9/26
Microbiology,Case sudy #4,2/9/26
Perio I,Midterm Exam,2/9/26
Physiology,Weekly Quiz 2,2/9/26
Physiology,Practice Exam 2,2/9/26
Operative,Practical Exam : Class I prep #19 O,2/10/26
Evidence Based Dentistry,Midterm Exam,2/11/26
Occlusion,Online Assignment/Quiz 2,2/11/26
Microbiology,Case study #5,2/13/26
Microbiology,Quiz 3,2/15/26
Physiology,Exam 2- Cardiovascular,2/16/26
Microbiology,Learner's choice assignment #1,2/17/26
Operative,Midterm Written Exam,2/17/26
Microbiology,Midterm Exam,2/20/26
Perio I,Quiz 2,2/20/26
Oral Histology,Exam 2,2/24/26
Physiology,Weekly Quiz 3,2/25/26
Microbiology,Quiz 4,3/1/26
Neuroscience,Exam 2,3/3/26
Operative,Practical Exam: Class II prep #31 MO,3/3/26
Evidence Based Dentistry,Lab Project,3/4/26
Occlusion,Final Exam,3/4/26
Perio I,Final Exam,3/5/26
Radiology,Exam 2,3/5/26
Microbiology,Quiz 5,3/8/26
Microbiology,Case study #6,3/16/26
Operative,Quiz #3,3/17/26
Physiology,Weekly Quiz 4,3/18/26
Physiology,Practice Exam 3,3/18/26
Operative,Practical: Class II condense and carve #31MO,3/19/26
Biomaterials,Exam 3,3/20/26
Microbiology,Case study #7,3/20/26
Microbiology,Learner's choice assignment #2,3/21/26
Microbiology,Quiz 6,3/22/26
Physiology,Exam 3- Respiratory and Endocrine,3/25/26
Microbiology,Quiz 7,3/29/26
Physiology,Weekly Quiz 5,4/1/26
Physiology,Practice Exam 4,4/1/26
Operative,Quiz 4,4/2/26
Oral Histology,Exam 3,4/2/26
Microbiology,Quiz 8,4/5/26
Neuroscience,Exam 3,4/7/26
Physiology,Exam 4- Gastrointestinal and Metabolism,4/8/26
Operative,"Practical: #9ML Comp prep, #6F comp Rest",4/9/26
Microbiology,Quiz 9,4/12/26
Microbiology,Learner's choice assignment #3,4/14/26
Physiology,Weekly Quiz 6,4/15/26
Physiology,Practice Exam 5,4/20/26
Preclinical Prosth,Midterm Written Exam,4/20/26
Preclinical Prosth,Practical Exam #1 - zirc crown prep,4/22/26
Radiology,Exam 3,4/23/26
Microbiology,Case study #8,4/24/26
Microbiology,Final Project-crime scene,4/25/26
Microbiology,Final project- mug shot and id card,4/25/26
Microbiology,Quiz 10,4/26/26
Physiology,Exam 5- Compartments and Renal,4/27/26
Operative,Final written exam,4/28/26
Evidence Based Dentistry,Final Exam,4/29/26
Microbiology,Final Project individual component,4/30/26
Neuroscience,Exam 4,4/30/26
Microbiology,Final project- self and peer assessment,5/1/26
Oral Histology,Exam 4,5/1/26